kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskComplete;taskOperation;;10;1556952195000;1556952195000;1556952195000.0
taskOperation;taskCostSpent;;22;1556952218000;1556952218000;1556952218000.0
taskCostSpent;taskAssigned;;22;1556952937000;1556952937000;1556952937000.0
taskAssigned;taskCostSpent;;22;1556952218000;1556952218000;1556952218000.0
taskCostSpent;taskOperation;;22;1556952937000;1556952937000;1556952937000.0
taskOperation;taskCostSpent;;23;1556952220000;1556952220000;1556952220000.0
taskCostSpent;taskAssigned;;23;1556953036000;1556953036000;1556953036000.0
taskAssigned;taskCostSpent;;23;1556952220000;1556952220000;1556952220000.0
taskCostSpent;taskDelivered;;23;1556953036000;1556953036000;1556953036000.0
taskDelivered;taskDelivered;;9;1556952236000;1556952236000;1556952236000.0
taskDelivered;taskDelivered;;13;1556952204000;1556952204000;1556952204000.0
taskDelivered;taskOperation;;16;1556952238000;1556952238000;1556952238000.0
taskOperation;taskSupported;;13;1556952204000;1556952204000;1556952204000.0
taskSupported;taskSupported;;13;1556952804000;1556952804000;1556952804000.0
taskSupported;taskCostSpent;;13;1556952804000;1556952804000;1556952804000.0
taskCostSpent;taskOperation;;13;1556952804000;1556952804000;1556952804000.0
taskOperation;taskSupported;;9;1556952236000;1556952236000;1556952236000.0
taskSupported;taskSupported;;9;1556952836000;1556952836000;1556952836000.0
taskSupported;taskCostSpent;;9;1556952836000;1556952836000;1556952836000.0
taskCostSpent;taskOperation;;9;1556952836000;1556952836000;1556952836000.0
taskOperation;taskSupported;;16;1556952238000;1556952238000;1556952238000.0
taskSupported;taskSupported;;16;1556952838000;1556952838000;1556952838000.0
taskSupported;taskCostSpent;;16;1556952838000;1556952838000;1556952838000.0
taskCostSpent;taskNew;;16;1556952838000;1556952838000;1556952838000.0
taskNew;taskDelivered;;24;1556952287000;1556952287000;1556952287000.0
taskDelivered;taskComplete;;24;1556952287000;1556952287000;1556952287000.0
taskComplete;taskOperation;;15;1556952262000;1556952262000;1556952262000.0
taskOperation;taskCostSpent;;24;1556952287000;1556952287000;1556952287000.0
taskCostSpent;taskAssigned;;24;1556952895000;1556952895000;1556952895000.0
taskAssigned;taskCostSpent;;24;1556952287000;1556952287000;1556952287000.0
taskCostSpent;taskDelivered;;24;1556952895000;1556952895000;1556952895000.0
taskDelivered;taskDelivered;;10;1556952255000;1556952255000;1556952255000.0
taskDelivered;taskOperation;;11;1556952277000;1556952277000;1556952277000.0
taskOperation;taskSupported;;10;1556952255000;1556952255000;1556952255000.0
taskSupported;taskSupported;;10;1556952855000;1556952855000;1556952855000.0
taskSupported;taskCostSpent;;10;1556952855000;1556952855000;1556952855000.0
taskCostSpent;taskOperation;;10;1556952855000;1556952855000;1556952855000.0
taskOperation;taskSupported;;11;1556952277000;1556952277000;1556952277000.0
taskSupported;taskSupported;;11;1556952877000;1556952877000;1556952877000.0
taskSupported;taskCostSpent;;11;1556952877000;1556952877000;1556952877000.0
taskCostSpent;taskComplete;;11;1556952877000;1556952877000;1556952877000.0
taskComplete;taskComplete;;3;1556952299000;1556952299000;1556952299000.0
taskComplete;taskDelivered;;14;1556952314000;1556952314000;1556952314000.0
taskDelivered;taskOperation;;15;1556952322000;1556952322000;1556952322000.0
taskOperation;taskSupported;;15;1556952322000;1556952322000;1556952322000.0
taskSupported;taskSupported;;15;1556952922000;1556952922000;1556952922000.0
taskSupported;taskCostSpent;;15;1556952922000;1556952922000;1556952922000.0
taskCostSpent;taskNew;;15;1556952922000;1556952922000;1556952922000.0
